#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.115000000000000E+02  -.384329562175761E+00  0.901075973162936E+00  -.400490506828586E+00  0.938965951877656E+00
     0.116000000000000E+02  -.378322454550105E+00  0.906847529876307E+00  -.391840837238748E+00  0.939251400705747E+00
     0.117000000000000E+02  -.378605586487078E+00  0.912255420420188E+00  -.388093644724349E+00  0.935117028555780E+00
     0.118000000000000E+02  -.385286066704687E+00  0.919217022801011E+00  -.387843784686595E+00  0.925319236484995E+00
     0.119000000000000E+02  -.398022902690963E+00  0.929590565538237E+00  -.389241288140230E+00  0.909080926566800E+00
     0.120000000000000E+02  -.416099244436350E+00  0.945109838836312E+00  -.390201131511431E+00  0.886285984527729E+00
     0.121000000000000E+02  -.438478760934294E+00  0.967362993236904E+00  -.388703427323759E+00  0.857549656763651E+00
     0.122000000000000E+02  -.463827201176453E+00  0.997794511841336E+00  -.383097279807611E+00  0.824126662523959E+00
     0.123000000000000E+02  -.490491432358997E+00  0.103770466223096E+01  -.372314151021322E+00  0.787683749074362E+00
     0.124000000000000E+02  -.516438522272825E+00  0.108821859917383E+01  -.355936584099875E+00  0.750015334331046E+00
     0.125000000000000E+02  -.539168651252697E+00  0.115019554225748E+01  -.334129319158264E+00  0.712790056581464E+00
     0.126000000000000E+02  -.555631742018359E+00  0.122404788091956E+01  -.307485135141320E+00  0.677384856950023E+00
     0.127000000000000E+02  -.562202524704808E+00  0.130944635359341E+01  -.276848668617067E+00  0.644818306015532E+00
     0.128000000000000E+02  -.554801683030305E+00  0.140491275495426E+01  -.243165055097475E+00  0.615761808074646E+00
     0.129000000000000E+02  -.529278158012821E+00  0.150736276224278E+01  -.207374818062636E+00  0.590595084724653E+00
     0.130000000000000E+02  -.482152419417684E+00  0.161176706013836E+01  -.170355987082817E+00  0.569475869910716E+00
     0.131000000000000E+02  -.411704158449752E+00  0.171121770670552E+01  -.132903554182222E+00  0.552403735869653E+00
     0.132000000000000E+02  -.319138046990335E+00  0.179771182403289E+01  -.957332702026594E-01  0.539267672468614E+00
     0.133000000000000E+02  -.209273428453841E+00  0.186374333173387E+01  -.594977315989916E-01  0.529873770120654E+00
     0.134000000000000E+02  -.901523560081554E-01  0.190429950636566E+01  -.248047190710911E-01  0.523953187405823E+00
     0.135000000000000E+02  0.286046264460937E-01  0.191839656073002E+01  0.777075042456323E-02  0.521152790331551E+00
     0.136000000000000E+02  0.138116418950141E+00  0.190934725371310E+01  0.376885029123328E-01  0.521012925756478E+00
     0.137000000000000E+02  0.232209912903311E+00  0.188363925044566E+01  0.644666116414441E-01  0.522939949086598E+00
     0.138000000000000E+02  0.308295190065562E+00  0.184906732256266E+01  0.877310124503438E-01  0.526185790517103E+00
     0.139000000000000E+02  0.367112061191410E+00  0.181298332359868E+01  0.107290010450568E+00  0.529851836260400E+00
     0.140000000000000E+02  0.411828502636168E+00  0.178117814022689E+01  0.123220846816560E+00  0.532936106571046E+00
     0.141000000000000E+02  0.447024689129242E+00  0.175742624954866E+01  0.135940781800308E+00  0.534435578458524E+00
     0.142000000000000E+02  0.477860945460685E+00  0.174345276569674E+01  0.146225235734372E+00  0.533495767079216E+00
     0.143000000000000E+02  0.509472111716394E+00  0.173906386169107E+01  0.155142161492815E+00  0.529571924099710E+00
     0.144000000000000E+02  0.546484824924463E+00  0.174229613516996E+01  0.163900793369939E+00  0.522546474880078E+00
     0.145000000000000E+02  0.592526364167143E+00  0.174958302117587E+01  0.173653017252639E+00  0.512754180969193E+00
     0.146000000000000E+02  0.649658838455118E+00  0.175605122102170E+01  0.185311180051635E+00  0.500902788873742E+00
     0.147000000000000E+02  0.717808205535717E+00  0.175610571101370E+01  0.199437931513666E+00  0.487921547598528E+00
     0.148000000000000E+02  0.794417283589192E+00  0.174438702466809E+01  0.216227693513530E+00  0.474794280953685E+00
     0.149000000000000E+02  0.874627834473462E+00  0.171696892603843E+01  0.235561046526495E+00  0.462426395696143E+00
     0.150000000000000E+02  0.952160091122752E+00  0.167240492394134E+01  0.257094097482090E+00  0.451568426942051E+00
     0.151000000000000E+02  0.102070806599980E+01  0.161214772919090E+01  0.280347662993674E+00  0.442792472533784E+00
     0.152000000000000E+02  0.107533560937273E+01  0.154011084138509E+01  0.304775456551778E+00  0.436503711708467E+00
     0.153000000000000E+02  0.111333404873887E+01  0.146158144636443E+01  0.329805123616076E+00  0.432967131598293E+00
     0.154000000000000E+02  0.113432106655852E+01  0.138198679439457E+01  0.354855496433557E+00  0.432334040552885E+00
     0.155000000000000E+02  0.113974996484035E+01  0.130596640312078E+01  0.379337756645618E+00  0.434658811929665E+00
     0.156000000000000E+02  0.113218404113509E+01  0.123692962618429E+01  0.402649443613785E+00  0.439901118260935E+00
     0.157000000000000E+02  0.111463599012646E+01  0.117702528920628E+01  0.424170475266879E+00  0.447912485103875E+00
     0.158000000000000E+02  0.109011358452989E+01  0.112734356498654E+01  0.443270541382216E+00  0.458409288231046E+00
     0.159000000000000E+02  0.106137944577363E+01  0.108818667772267E+01  0.459337086788122E+00  0.470938551162957E+00
     0.160000000000000E+02  0.103086777359369E+01  0.105930896452962E+01  0.471831069622007E+00  0.484848682437514E+00
     0.161000000000000E+02  0.100068874495746E+01  0.104008580496066E+01  0.480371383961903E+00  0.499283578521031E+00
     0.162000000000000E+02  0.972663281131579E+00  0.102960837908161E+01  0.484836580852364E+00  0.513221600747714E+00
     0.163000000000000E+02  0.948348085076322E+00  0.102672067711454E+01  0.485456180269521E+00  0.525574845311833E+00
     0.164000000000000E+02  0.929026476239872E+00  0.103002497863946E+01  0.482851541262083E+00  0.535344429027977E+00
     0.165000000000000E+02  0.915655271685342E+00  0.103788768782402E+01  0.477990361722770E+00  0.541798127167985E+00
     0.166000000000000E+02  0.908774806503464E+00  0.104847944971440E+01  0.472046471661386E+00  0.544613496440793E+00
     0.167000000000000E+02  0.908409058204574E+00  0.105987786572042E+01  0.466197911570309E+00  0.543932100913927E+00
     0.168000000000000E+02  0.914000919791905E+00  0.107024261414739E+01  0.461426244830925E+00  0.540303647195996E+00
     0.169000000000000E+02  0.924432962841942E+00  0.107804112080952E+01  0.458377805440290E+00  0.534544031848361E+00
     0.170000000000000E+02  0.938165497037605E+00  0.108226891365657E+01  0.457315895891472E+00  0.527560200633242E+00
     0.171000000000000E+02  0.953481807008656E+00  0.108259258455675E+01  0.458154875029507E+00  0.520193533468193E+00
     0.172000000000000E+02  0.968783875220967E+00  0.107936073820065E+01  0.460544527474599E+00  0.513111018735602E+00
     0.173000000000000E+02  0.982858263214184E+00  0.107347476423415E+01  0.463971652279316E+00  0.506748407866141E+00
     0.174000000000000E+02  0.995045843776657E+00  0.106616082956286E+01  0.467857230461766E+00  0.501294544433130E+00
     0.175000000000000E+02  0.100528985211769E+01  0.105870956488098E+01  0.471640764485576E+00  0.496703102589558E+00
     0.176000000000000E+02  0.101407782261603E+01  0.105224222955576E+01  0.474851674615969E+00  0.492722524507261E+00
     0.177000000000000E+02  0.102231393508471E+01  0.104753494189876E+01  0.477169332516913E+00  0.488941343612375E+00
     0.178000000000000E+02  0.103115626591666E+01  0.104490609708958E+01  0.478469920636914E+00  0.484850021158564E+00
     0.179000000000000E+02  0.104183888536812E+01  0.104415923669617E+01  0.478852980576330E+00  0.479919467117606E+00
     0.180000000000000E+02  0.105548498607934E+01  0.104457592570023E+01  0.478637315050528E+00  0.473690315862053E+00
     0.181000000000000E+02  0.107291364077619E+01  0.104496429007467E+01  0.478318616059563E+00  0.465858438241674E+00
     0.182000000000000E+02  0.109445272442135E+01  0.104377872106832E+01  0.478490949600873E+00  0.456336450422032E+00
     0.183000000000000E+02  0.111979041545439E+01  0.103932398660345E+01  0.479747422298363E+00  0.445273505313524E+00
     0.184000000000000E+02  0.114791576977867E+01  0.103003508055528E+01  0.482584617991367E+00  0.433027491175002E+00
     0.185000000000000E+02  0.117719741419994E+01  0.101478573810514E+01  0.487334528264157E+00  0.420099571238667E+00
     0.186000000000000E+02  0.120561538451447E+01  0.993143036292921E+00  0.494136755123697E+00  0.407052268601496E+00
     0.187000000000000E+02  0.123110195138194E+01  0.965481450173930E+00  0.502949108454582E+00  0.394433648691185E+00
     0.188000000000000E+02  0.125189514068057E+01  0.932912230304508E+00  0.513583958418688E+00  0.382722754109043E+00
     0.189000000000000E+02  0.126679971278854E+01  0.897054951204125E+00  0.525754490420685E+00  0.372300896494129E+00
     0.190000000000000E+02  0.127529289384742E+01  0.859735370336622E+00  0.539118071355063E+00  0.363445038365487E+00
     0.191000000000000E+02  0.127747792656540E+01  0.822705330894404E+00  0.553309638694376E+00  0.356335542026147E+00
     0.192000000000000E+02  0.127393810742603E+01  0.787448758094521E+00  0.567963264126439E+00  0.351070404733648E+00
     0.193000000000000E+02  0.126555764459077E+01  0.755090688048475E+00  0.582723433268039E+00  0.347679965467409E+00
     0.194000000000000E+02  0.125336025010713E+01  0.726390552060566E+00  0.597249135771391E+00  0.346138414245700E+00
     0.195000000000000E+02  0.123839056259802E+01  0.701786528788709E+00  0.611214193805264E+00  0.346370442711635E+00
     0.196000000000000E+02  0.122164191700686E+01  0.681460045619070E+00  0.624306998819201E+00  0.348252847232033E+00
     0.197000000000000E+02  0.120402187958314E+01  0.665399191058915E+00  0.636232361087683E+00  0.351611964509998E+00
     0.198000000000000E+02  0.118634301390066E+01  0.653449899695077E+00  0.646717618059201E+00  0.356218697037997E+00
     0.199000000000000E+02  0.116932707783190E+01  0.645351229932931E+00  0.655524408226323E+00  0.361783705449031E+00
     0.200000000000000E+02  0.115361336262151E+01  0.640755557522973E+00  0.662466412199186E+00  0.367956066601320E+00
     0.201000000000000E+02  0.113976455994768E+01  0.639236891609095E+00  0.667431749944342E+00  0.374329060744989E+00
     0.202000000000000E+02  0.112826583992572E+01  0.640291750324630E+00  0.670406681792489E+00  0.380456318470567E+00
     0.203000000000000E+02  0.111951482597432E+01  0.643337763980499E+00  0.671495256357902E+00  0.385879888971398E+00
     0.204000000000000E+02  0.111380219116359E+01  0.647715633495115E+00  0.670928450993322E+00  0.390168784109716E+00
     0.205000000000000E+02  0.111128496553048E+01  0.652700085813801E+00  0.669057143576087E+00  0.392962803035843E+00
     0.206000000000000E+02  0.111195734691033E+01  0.657524573843557E+00  0.666326425189907E+00  0.394013313533173E+00
     0.207000000000000E+02  0.111562639528228E+01  0.661422151498895E+00  0.663233689787693E+00  0.393211791959199E+00
     0.208000000000000E+02  0.112190150995855E+01  0.663681031433621E+00  0.660277831676600E+00  0.390599235735114E+00
     0.209000000000000E+02  0.113020586675029E+01  0.663708372901538E+00  0.657909600671067E+00  0.386354489411063E+00
     0.210000000000000E+02  0.113981427333115E+01  0.661091345407295E+00  0.656492472179901E+00  0.380765096417670E+00
     0.211000000000000E+02  0.114991559899865E+01  0.655642489750909E+00  0.656279731386837E+00  0.374188225148191E+00
     0.212000000000000E+02  0.115969093832904E+01  0.647418380132341E+00  0.657408633090890E+00  0.367010225098405E+00
     0.213000000000000E+02  0.116839371668288E+01  0.636706513258068E+00  0.659908466455898E+00  0.359611672629915E+00
     0.214000000000000E+02  0.117541722166041E+01  0.623983218714152E+00  0.663717280791025E+00  0.352341651587473E+00
     0.215000000000000E+02  0.118033887562367E+01  0.609852169543281E+00  0.668701952224275E+00  0.345501910310565E+00
     0.216000000000000E+02  0.118293721587762E+01  0.594976323976507E+00  0.674677500719039E+00  0.339339344353672E+00
     0.217000000000000E+02  0.118318427423295E+01  0.580015188802405E+00  0.681423264547306E+00  0.334044199241057E+00
     0.218000000000000E+02  0.118122058030388E+01  0.565575319553338E+00  0.688695107781671E+00  0.329751243885571E+00
     0.219000000000000E+02  0.117732148350245E+01  0.552176980057190E+00  0.696234017232661E+00  0.326541562721612E+00
     0.220000000000000E+02  0.117186237023623E+01  0.540235631736909E+00  0.703772231852577E+00  0.324443250274457E+00
     0.221000000000000E+02  0.116528778476378E+01  0.530054304957927E+00  0.711038544290982E+00  0.323430011298756E+00
     0.222000000000000E+02  0.115808654570163E+01  0.521821980328233E+00  0.717764717130038E+00  0.323417457436751E+00
     0.223000000000000E+02  0.115077237562231E+01  0.515613482996513E+00  0.723695072803129E+00  0.324257815898343E+00
     0.224000000000000E+02  0.114386759341221E+01  0.511387616065942E+00  0.728601119387416E+00  0.325734894189136E+00
     0.225000000000000E+02  0.113788609165488E+01  0.508982052521666E+00  0.732302301804574E+00  0.327562425951403E+00
     0.226000000000000E+02  0.113331118564140E+01  0.508105797185160E+00  0.734692307011506E+00  0.329390043149195E+00
     0.227000000000000E+02  0.113056424842180E+01  0.508332812179756E+00  0.735767672910335E+00  0.330821402501951E+00
     0.228000000000000E+02  0.112996189645639E+01  0.509103428722501E+00  0.735652186020093E+00  0.331447504048193E+00
     0.229000000000000E+02  0.113166350467997E+01  0.509742586200212E+00  0.734608021727118E+00  0.330894290829408E+00
     0.230000000000000E+02  0.113561710732852E+01  0.509504032866913E+00  0.733024803835514E+00  0.328877657209888E+00
     0.231000000000001E+02  0.114151885700026E+01  0.507645209718271E+00  0.731382341893453E+00  0.325253271164015E+00
     0.232000000000001E+02  0.114880555595672E+01  0.503527472873310E+00  0.730191221322153E+00  0.320046624496366E+00
     0.233000000000001E+02  0.115669651572373E+01  0.496722759361929E+00  0.729924196345718E+00  0.313452972326996E+00
     0.234000000000001E+02  0.116428754515250E+01  0.487097324706052E+00  0.730955634317804E+00  0.305806358092049E+00
     0.235000000000001E+02  0.117067993699962E+01  0.474843909122766E+00  0.733523323446117E+00  0.297527164624151E+00
     0.236000000000001E+02  0.117511114644881E+01  0.460448849136487E+00  0.737718391971354E+00  0.289063366981538E+00
     0.237000000000001E+02  0.117705174829824E+01  0.444603896936669E+00  0.743499664064451E+00  0.280839689921943E+00
     0.238000000000001E+02  0.117624713560659E+01  0.428091141663411E+00  0.750722880663835E+00  0.273223037342820E+00
     0.239000000000001E+02  0.117270382586492E+01  0.411673882642842E+00  0.759174273779636E+00  0.266505671761510E+00
     0.240000000000001E+02  0.116663727989143E+01  0.396016838415751E+00  0.768600628237106E+00  0.260902678189011E+00
     0.241000000000001E+02  0.115840414242070E+01  0.381643676998601E+00  0.778731836506844E+00  0.256558199851818E+00
     0.242000000000001E+02  0.114843794044479E+01  0.368927026714610E+00  0.789295283565800E+00  0.253555156888161E+00
     0.243000000000001E+02  0.113719892249336E+01  0.358099842508374E+00  0.800023506357466E+00  0.251924519064324E+00
     0.244000000000001E+02  0.112514082182499E+01  0.349276608668774E+00  0.810657556969355E+00  0.251651808198292E+00
     0.245000000000001E+02  0.111269219353951E+01  0.342475684551437E+00  0.820948752228374E+00  0.252679930292938E+00
     0.246000000000001E+02  0.110024768362700E+01  0.337637736359231E+00  0.830661353815377E+00  0.254908620446957E+00
     0.247000000000001E+02  0.108816423119732E+01  0.334638354951074E+00  0.839578333082928E+00  0.258191828200692E+00
