#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.112000000000000E+01  0.218611543676237E+00  0.163184206647026E-01  0.454897701937595E+01  0.339561760316642E+00
     0.113000000000000E+01  0.218548115780973E+00  0.164703064029590E-01  0.454981083857015E+01  0.342884578615425E+00
     0.114000000000000E+01  0.218484214878115E+00  0.166222370954894E-01  0.455064990903933E+01  0.346212570866124E+00
     0.115000000000000E+01  0.218419839794277E+00  0.167742086672351E-01  0.455149426226583E+01  0.349545694085664E+00
     0.116000000000000E+01  0.218354989177511E+00  0.169262170108659E-01  0.455234393398826E+01  0.352883905355345E+00
     0.117000000000000E+01  0.218289661494207E+00  0.170782579922445E-01  0.455319896425967E+01  0.356227161970797E+00
     0.118000000000000E+01  0.218223855026135E+00  0.172303274560708E-01  0.455405939750137E+01  0.359575421596084E+00
     0.119000000000000E+01  0.218157567867680E+00  0.173824212317025E-01  0.455492528255121E+01  0.362928642421699E+00
     0.120000000000000E+01  0.218090797923281E+00  0.175345351391470E-01  0.455579667270637E+01  0.366286783326273E+00
     0.121000000000000E+01  0.218023542905033E+00  0.176866649952157E-01  0.455667362576112E+01  0.369649804041925E+00
     0.122000000000000E+01  0.217955800330538E+00  0.178388066198368E-01  0.455755620403805E+01  0.373017665322858E+00
     0.123000000000000E+01  0.217887567520950E+00  0.179909558425160E-01  0.455844447441364E+01  0.376390329117109E+00
     0.124000000000000E+01  0.217818841599261E+00  0.181431085089390E-01  0.455933850833743E+01  0.379767758741173E+00
     0.125000000000000E+01  0.217749619488822E+00  0.182952604877058E-01  0.456023838184469E+01  0.383149919057220E+00
     0.126000000000000E+01  0.217679897912105E+00  0.184474076771880E-01  0.456114417556262E+01  0.386536776652706E+00
     0.127000000000000E+01  0.217609673389728E+00  0.185995460124982E-01  0.456205597470938E+01  0.389928300022001E+00
     0.128000000000000E+01  0.217538942239747E+00  0.187516714725626E-01  0.456297386908635E+01  0.393324459749817E+00
     0.129000000000000E+01  0.217467700577192E+00  0.189037800872831E-01  0.456389795306340E+01  0.396725228696148E+00
     0.130000000000000E+01  0.217395944313916E+00  0.190558679447806E-01  0.456482832555649E+01  0.400130582182301E+00
     0.131000000000000E+01  0.217323669158701E+00  0.192079311987037E-01  0.456576508999817E+01  0.403540498177793E+00
     0.132000000000000E+01  0.217250870617662E+00  0.193599660755936E-01  0.456670835430055E+01  0.406954957487756E+00
     0.133000000000000E+01  0.217177543994949E+00  0.195119688822897E-01  0.456765823081046E+01  0.410373943940452E+00
     0.134000000000000E+01  0.217103684393734E+00  0.196639360133634E-01  0.456861483625756E+01  0.413797444574664E+00
