# final state angular momentum:   1
# broadening parameter (in eV):    1.50000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    9.36454849    0.00049096    0.00025640    0.00023456
    9.46488294    0.00049728    0.00025941    0.00023787
    9.56521739    0.00050502    0.00026318    0.00024185
    9.66555184    0.00051419    0.00026772    0.00024648
    9.76588629    0.00052477    0.00027302    0.00025175
    9.86622074    0.00053677    0.00027909    0.00025767
    9.96655518    0.00055016    0.00028593    0.00026423
   10.06688963    0.00056495    0.00029354    0.00027142
   10.16722408    0.00058115    0.00030191    0.00027923
   10.26755853    0.00059875    0.00031107    0.00028768
   10.36789298    0.00061779    0.00032101    0.00029678
   10.46822742    0.00063832    0.00033177    0.00030655
   10.56856187    0.00066040    0.00034338    0.00031702
   10.66889632    0.00068414    0.00035589    0.00032825
   10.76923077    0.00070968    0.00036936    0.00034032
   10.86956522    0.00073718    0.00038388    0.00035330
   10.96989967    0.00076685    0.00039955    0.00036730
   11.07023411    0.00079890    0.00041646    0.00038243
   11.17056856    0.00083354    0.00043474    0.00039880
   11.27090301    0.00087100    0.00045448    0.00041652
   11.37123746    0.00091150    0.00047580    0.00043570
   11.47157191    0.00095523    0.00049878    0.00045644
   11.57190635    0.00100234    0.00052351    0.00047883
   11.67224080    0.00105297    0.00055003    0.00050294
   11.77257525    0.00110720    0.00057838    0.00052882
   11.87290970    0.00116507    0.00060856    0.00055651
   11.97324415    0.00122656    0.00064055    0.00058601
   12.07357860    0.00129159    0.00067429    0.00061730
   12.17391304    0.00136001    0.00070968    0.00065033
   12.27424749    0.00143158    0.00074659    0.00068499
   12.37458194    0.00150594    0.00078482    0.00072113
   12.47491639    0.00158261    0.00082410    0.00075851
   12.57525084    0.00166091    0.00086408    0.00079684
   12.67558528    0.00173998    0.00090431    0.00083568
   12.77591973    0.00181872    0.00094421    0.00087451
   12.87625418    0.00189583    0.00098312    0.00091272
   12.97658863    0.00196983    0.00102027    0.00094956
   13.07692308    0.00203910    0.00105484    0.00098426
   13.17725753    0.00210205    0.00108604    0.00101601
   13.27759197    0.00215716    0.00111311    0.00104404
   13.37792642    0.00220310    0.00113542    0.00106767
   13.47826087    0.00223882    0.00115247    0.00108635
   13.57859532    0.00226361    0.00116395    0.00109966
   13.67892977    0.00227706    0.00116969    0.00110737
   13.77926421    0.00227905    0.00116967    0.00110938
   13.87959866    0.00226977    0.00116401    0.00110576
   13.97993311    0.00224963    0.00115292    0.00109671
   14.08026756    0.00221935    0.00113677    0.00108258
   14.18060201    0.00217985    0.00111601    0.00106384
   14.28093645    0.00213236    0.00109125    0.00104111
   14.38127090    0.00207831    0.00106320    0.00101511
   14.48160535    0.00201931    0.00103267    0.00098664
   14.58193980    0.00195707    0.00100049    0.00095658
   14.68227425    0.00189328    0.00096752    0.00092576
   14.78260870    0.00182954    0.00093455    0.00089499
   14.88294314    0.00176728    0.00090231    0.00086497
   14.98327759    0.00170770    0.00087138    0.00083632
   15.08361204    0.00165174    0.00084224    0.00080950
   15.18394649    0.00160009    0.00081521    0.00078488
   15.28428094    0.00155321    0.00079052    0.00076269
   15.38461538    0.00151137    0.00076829    0.00074308
   15.48494983    0.00147465    0.00074856    0.00072609
   15.58528428    0.00144300    0.00073130    0.00071170
   15.68561873    0.00141629    0.00071644    0.00069984
   15.78595318    0.00139431    0.00070390    0.00069040
   15.88628763    0.00137681    0.00069357    0.00068324
   15.98662207    0.00136350    0.00068532    0.00067819
   16.08695652    0.00135407    0.00067901    0.00067506
   16.18729097    0.00134814    0.00067447    0.00067367
   16.28762542    0.00134529    0.00067152    0.00067377
   16.38795987    0.00134500    0.00066990    0.00067510
   16.48829431    0.00134664    0.00066930    0.00067734
   16.58862876    0.00134947    0.00066937    0.00068011
   16.68896321    0.00135265    0.00066968    0.00068297
   16.78929766    0.00135524    0.00066979    0.00068546
   16.88963211    0.00135627    0.00066922    0.00068705
   16.98996656    0.00135480    0.00066753    0.00068727
   17.09030100    0.00135002    0.00066435    0.00068567
   17.19063545    0.00134132    0.00065937    0.00068195
   17.29096990    0.00132836    0.00065246    0.00067590
   17.39130435    0.00131112    0.00064360    0.00066752
   17.49163880    0.00128989    0.00063293    0.00065695
   17.59197324    0.00126524    0.00062074    0.00064450
   17.69230769    0.00123796    0.00060739    0.00063057
   17.79264214    0.00120896    0.00059331    0.00061566
   17.89297659    0.00117920    0.00057894    0.00060026
   17.99331104    0.00114958    0.00056472    0.00058486
   18.09364548    0.00112097    0.00055105    0.00056992
   18.19397993    0.00109408    0.00053827    0.00055581
   18.29431438    0.00106951    0.00052665    0.00054286
   18.39464883    0.00104776    0.00051644    0.00053132
   18.49498328    0.00102917    0.00050779    0.00052139
   18.59531773    0.00101405    0.00050084    0.00051321
   18.69565217    0.00100259    0.00049570    0.00050689
   18.79598662    0.00099495    0.00049244    0.00050251
   18.89632107    0.00099124    0.00049110    0.00050013
   18.99665552    0.00099154    0.00049174    0.00049979
   19.09698997    0.00099591    0.00049439    0.00050152
   19.19732441    0.00100439    0.00049907    0.00050533
   19.29765886    0.00101702    0.00050579    0.00051123
   19.39799331    0.00103380    0.00051456    0.00051923
   19.49832776    0.00105468    0.00052537    0.00052931
   19.59866221    0.00107960    0.00053819    0.00054142
   19.69899666    0.00110842    0.00055293    0.00055548
   19.79933110    0.00114089    0.00056951    0.00057138
   19.89966555    0.00117667    0.00058773    0.00058894
   20.00000000    0.00121529    0.00060738    0.00060790
