# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
   29.63963964    0.00155157
   29.74974975    0.00152582
   29.85985986    0.00150286
   29.96996997    0.00148346
   30.08008008    0.00146740
   30.19019019    0.00145329
   30.30030030    0.00143905
   30.41041041    0.00142265
   30.52052052    0.00140301
   30.63063063    0.00138038
   30.74074074    0.00135620
   30.85085085    0.00133236
   30.96096096    0.00131035
   31.07107107    0.00129073
   31.18118118    0.00127295
   31.29129129    0.00125573
   31.40140140    0.00123754
   31.51151151    0.00121728
   31.62162162    0.00119467
   31.73173173    0.00117033
   31.84184184    0.00114555
   31.95195195    0.00112166
   32.06206206    0.00109952
   32.17217217    0.00107914
   32.28228228    0.00105966
   32.39239239    0.00103976
   32.50250250    0.00101832
   32.61261261    0.00099498
   32.72272272    0.00097024
   32.83283283    0.00094525
   32.94294294    0.00092139
   33.05305305    0.00089992
   33.16316316    0.00088177
   33.27327327    0.00086740
   33.38338338    0.00085670
   33.49349349    0.00084898
   33.60360360    0.00084327
   33.71371371    0.00083863
   33.82382382    0.00083450
   33.93393393    0.00083080
   34.04404404    0.00082766
   34.15415415    0.00082511
   34.26426426    0.00082286
   34.37437437    0.00082036
   34.48448448    0.00081705
   34.59459459    0.00081253
   34.70470470    0.00080657
   34.81481481    0.00079916
   34.92492492    0.00079048
   35.03503504    0.00078095
   35.14514515    0.00077104
   35.25525526    0.00076114
   35.36536537    0.00075140
   35.47547548    0.00074173
   35.58558559    0.00073193
   35.69569570    0.00072200
   35.80580581    0.00071223
   35.91591592    0.00070325
   36.02602603    0.00069581
   36.13613614    0.00069052
   36.24624625    0.00068761
   36.35635636    0.00068672
   36.46646647    0.00068694
   36.57657658    0.00068699
   36.68668669    0.00068552
   36.79679680    0.00068144
   36.90690691    0.00067406
   37.01701702    0.00066318
   37.12712713    0.00064901
   37.23723724    0.00063210
   37.34734735    0.00061334
   37.45745746    0.00059386
   37.56756757    0.00057491
   37.67767768    0.00055769
   37.78778779    0.00054312
   37.89789790    0.00053173
   38.00800801    0.00052366
   38.11811812    0.00051873
   38.22822823    0.00051660
   38.33833834    0.00051680
   38.44844845    0.00051881
   38.55855856    0.00052198
   38.66866867    0.00052557
   38.77877878    0.00052884
   38.88888889    0.00053119
   38.99899900    0.00053239
   39.10910911    0.00053253
   39.21921922    0.00053181
   39.32932933    0.00053032
   39.43943944    0.00052785
   39.54954955    0.00052403
   39.65965966    0.00051852
   39.76976977    0.00051125
   39.87987988    0.00050243
   39.98998999    0.00049241
   40.10010010    0.00048164
   40.21021021    0.00047052
   40.32032032    0.00045942
   40.43043043    0.00044863
   40.54054054    0.00043837
   40.65065065    0.00042874
   40.76076076    0.00041965
   40.87087087    0.00041090
   40.98098098    0.00040227
   41.09109109    0.00039369
   41.20120120    0.00038536
   41.31131131    0.00037759
   41.42142142    0.00037070
   41.53153153    0.00036482
   41.64164164    0.00035984
   41.75175175    0.00035546
   41.86186186    0.00035135
   41.97197197    0.00034721
   42.08208208    0.00034293
   42.19219219    0.00033857
   42.30230230    0.00033432
   42.41241241    0.00033041
   42.52252252    0.00032693
   42.63263263    0.00032377
   42.74274274    0.00032064
   42.85285285    0.00031723
   42.96296296    0.00031330
   43.07307307    0.00030880
   43.18318318    0.00030389
   43.29329329    0.00029879
   43.40340340    0.00029374
   43.51351351    0.00028895
   43.62362362    0.00028459
   43.73373373    0.00028076
   43.84384384    0.00027752
   43.95395395    0.00027480
   44.06406406    0.00027248
   44.17417417    0.00027039
   44.28428428    0.00026838
   44.39439439    0.00026634
   44.50450450    0.00026414
   44.61461461    0.00026168
   44.72472472    0.00025886
   44.83483483    0.00025561
   44.94494494    0.00025197
   45.05505506    0.00024802
   45.16516517    0.00024391
   45.27527528    0.00023984
   45.38538539    0.00023601
   45.49549550    0.00023265
   45.60560561    0.00023001
   45.71571572    0.00022825
   45.82582583    0.00022749
   45.93593594    0.00022770
   46.04604605    0.00022876
   46.15615616    0.00023047
   46.26626627    0.00023259
   46.37637638    0.00023491
   46.48648649    0.00023732
   46.59659660    0.00023985
   46.70670671    0.00024269
   46.81681682    0.00024604
   46.92692693    0.00025002
   47.03703704    0.00025458
   47.14714715    0.00025943
   47.25725726    0.00026413
   47.36736737    0.00026816
   47.47747748    0.00027105
   47.58758759    0.00027247
   47.69769770    0.00027224
   47.80780781    0.00027032
   47.91791792    0.00026679
   48.02802803    0.00026183
   48.13813814    0.00025569
   48.24824825    0.00024871
   48.35835836    0.00024123
   48.46846847    0.00023362
   48.57857858    0.00022619
   48.68868869    0.00021913
   48.79879880    0.00021256
   48.90890891    0.00020648
   49.01901902    0.00020086
   49.12912913    0.00019563
   49.23923924    0.00019078
   49.34934935    0.00018629
   49.45945946    0.00018218
   49.56956957    0.00017846
   49.67967968    0.00017509
   49.78978979    0.00017197
   49.89989990    0.00016897
   50.01001001    0.00016597
   50.12012012    0.00016290
   50.23023023    0.00015975
   50.34034034    0.00015665
   50.45045045    0.00015377
   50.56056056    0.00015129
   50.67067067    0.00014935
   50.78078078    0.00014798
   50.89089089    0.00014711
   51.00100100    0.00014655
   51.11111111    0.00014605
   51.22122122    0.00014539
   51.33133133    0.00014437
   51.44144144    0.00014293
   51.55155155    0.00014112
   51.66166166    0.00013908
   51.77177177    0.00013701
   51.88188188    0.00013504
   51.99199199    0.00013325
   52.10210210    0.00013157
   52.21221221    0.00012989
   52.32232232    0.00012805
   52.43243243    0.00012593
   52.54254254    0.00012351
   52.65265265    0.00012085
   52.76276276    0.00011804
   52.87287287    0.00011520
   52.98298298    0.00011242
   53.09309309    0.00010978
   53.20320320    0.00010737
   53.31331331    0.00010527
   53.42342342    0.00010353
   53.53353353    0.00010223
   53.64364364    0.00010135
   53.75375375    0.00010085
   53.86386386    0.00010061
   53.97397397    0.00010049
   54.08408408    0.00010028
   54.19419419    0.00009984
   54.30430430    0.00009905
   54.41441441    0.00009788
   54.52452452    0.00009635
   54.63463463    0.00009455
   54.74474474    0.00009259
   54.85485485    0.00009059
   54.96496496    0.00008867
   55.07507508    0.00008688
   55.18518519    0.00008525
   55.29529530    0.00008373
   55.40540541    0.00008219
   55.51551552    0.00008053
   55.62562563    0.00007869
   55.73573574    0.00007668
   55.84584585    0.00007456
   55.95595596    0.00007244
   56.06606607    0.00007041
   56.17617618    0.00006853
   56.28628629    0.00006682
   56.39639640    0.00006528
   56.50650651    0.00006390
   56.61661662    0.00006266
   56.72672673    0.00006152
   56.83683684    0.00006044
   56.94694695    0.00005940
   57.05705706    0.00005835
   57.16716717    0.00005729
   57.27727728    0.00005620
   57.38738739    0.00005510
   57.49749750    0.00005403
   57.60760761    0.00005298
   57.71771772    0.00005198
   57.82782783    0.00005103
   57.93793794    0.00005011
   58.04804805    0.00004923
   58.15815816    0.00004838
   58.26826827    0.00004756
   58.37837838    0.00004678
   58.48848849    0.00004603
   58.59859860    0.00004531
   58.70870871    0.00004463
   58.81881882    0.00004396
   58.92892893    0.00004331
   59.03903904    0.00004266
   59.14914915    0.00004202
   59.25925926    0.00004140
   59.36936937    0.00004080
   59.47947948    0.00004022
   59.58958959    0.00003966
   59.69969970    0.00003912
   59.80980981    0.00003860
   59.91991992    0.00003811
   60.03003003    0.00003765
   60.14014014    0.00003723
   60.25025025    0.00003685
   60.36036036    0.00003651
   60.47047047    0.00003621
   60.58058058    0.00003594
   60.69069069    0.00003570
   60.80080080    0.00003548
   60.91091091    0.00003528
   61.02102102    0.00003510
   61.13113113    0.00003494
   61.24124124    0.00003481
   61.35135135    0.00003470
   61.46146146    0.00003461
   61.57157157    0.00003455
   61.68168168    0.00003451
   61.79179179    0.00003449
   61.90190190    0.00003448
   62.01201201    0.00003450
   62.12212212    0.00003453
   62.23223223    0.00003459
   62.34234234    0.00003468
   62.45245245    0.00003479
   62.56256256    0.00003495
   62.67267267    0.00003514
   62.78278278    0.00003538
   62.89289289    0.00003565
   63.00300300    0.00003596
   63.11311311    0.00003631
   63.22322322    0.00003670
   63.33333333    0.00003713
   63.44344344    0.00003759
   63.55355355    0.00003810
   63.66366366    0.00003865
   63.77377377    0.00003924
   63.88388388    0.00003987
   63.99399399    0.00004053
   64.10410410    0.00004121
   64.21421421    0.00004192
   64.32432432    0.00004265
   64.43443443    0.00004340
   64.54454454    0.00004419
   64.65465465    0.00004500
   64.76476476    0.00004582
   64.87487487    0.00004664
   64.98498498    0.00004744
   65.09509510    0.00004820
   65.20520521    0.00004891
   65.31531532    0.00004955
   65.42542543    0.00005014
   65.53553554    0.00005070
   65.64564565    0.00005124
   65.75575576    0.00005178
   65.86586587    0.00005232
   65.97597598    0.00005289
   66.08608609    0.00005347
   66.19619620    0.00005408
   66.30630631    0.00005471
   66.41641642    0.00005537
   66.52652653    0.00005605
   66.63663664    0.00005678
   66.74674675    0.00005754
   66.85685686    0.00005834
   66.96696697    0.00005917
   67.07707708    0.00006004
   67.18718719    0.00006092
   67.29729730    0.00006179
   67.40740741    0.00006265
   67.51751752    0.00006347
   67.62762763    0.00006422
   67.73773774    0.00006492
   67.84784785    0.00006558
   67.95795796    0.00006623
   68.06806807    0.00006691
   68.17817818    0.00006765
   68.28828829    0.00006848
   68.39839840    0.00006942
   68.50850851    0.00007051
   68.61861862    0.00007176
   68.72872873    0.00007320
   68.83883884    0.00007483
   68.94894895    0.00007664
   69.05905906    0.00007860
   69.16916917    0.00008066
   69.27927928    0.00008278
   69.38938939    0.00008494
   69.49949950    0.00008714
   69.60960961    0.00008940
   69.71971972    0.00009176
   69.82982983    0.00009424
   69.93993994    0.00009686
   70.05005005    0.00009960
   70.16016016    0.00010243
   70.27027027    0.00010532
   70.38038038    0.00010823
   70.49049049    0.00011112
   70.60060060    0.00011393
   70.71071071    0.00011665
   70.82082082    0.00011922
   70.93093093    0.00012164
   71.04104104    0.00012389
   71.15115115    0.00012598
   71.26126126    0.00012792
   71.37137137    0.00012972
   71.48148148    0.00013145
   71.59159159    0.00013315
   71.70170170    0.00013489
   71.81181181    0.00013671
   71.92192192    0.00013860
   72.03203203    0.00014055
   72.14214214    0.00014255
   72.25225225    0.00014463
   72.36236236    0.00014685
   72.47247247    0.00014928
   72.58258258    0.00015193
   72.69269269    0.00015480
   72.80280280    0.00015782
   72.91291291    0.00016093
   73.02302302    0.00016404
   73.13313313    0.00016709
   73.24324324    0.00017009
   73.35335335    0.00017305
   73.46346346    0.00017603
   73.57357357    0.00017908
   73.68368368    0.00018232
   73.79379379    0.00018587
   73.90390390    0.00018986
   74.01401401    0.00019437
   74.12412412    0.00019940
   74.23423423    0.00020480
   74.34434434    0.00021033
   74.45445445    0.00021572
   74.56456456    0.00022075
   74.67467467    0.00022529
   74.78478478    0.00022932
   74.89489489    0.00023288
   75.00500501    0.00023601
   75.11511512    0.00023869
   75.22522523    0.00024088
   75.33533534    0.00024248
   75.44544545    0.00024349
   75.55555556    0.00024397
   75.66566567    0.00024410
   75.77577578    0.00024408
   75.88588589    0.00024408
   75.99599600    0.00024428
   76.10610611    0.00024482
   76.21621622    0.00024583
   76.32632633    0.00024736
   76.43643644    0.00024933
   76.54654655    0.00025152
   76.65665666    0.00025362
   76.76676677    0.00025532
   76.87687688    0.00025646
   76.98698699    0.00025707
   77.09709710    0.00025737
   77.20720721    0.00025768
   77.31731732    0.00025833
   77.42742743    0.00025958
   77.53753754    0.00026155
   77.64764765    0.00026423
   77.75775776    0.00026745
   77.86786787    0.00027098
   77.97797798    0.00027459
   78.08808809    0.00027811
   78.19819820    0.00028143
   78.30830831    0.00028453
   78.41841842    0.00028739
   78.52852853    0.00029001
   78.63863864    0.00029237
   78.74874875    0.00029444
   78.85885886    0.00029620
   78.96896897    0.00029771
   79.07907908    0.00029907
   79.18918919    0.00030039
   79.29929930    0.00030177
   79.40940941    0.00030326
   79.51951952    0.00030483
   79.62962963    0.00030647
   79.73973974    0.00030814
   79.84984985    0.00030983
   79.95995996    0.00031150
   80.07007007    0.00031311
   80.18018018    0.00031462
   80.29029029    0.00031601
   80.40040040    0.00031733
   80.51051051    0.00031874
   80.62062062    0.00032055
   80.73073073    0.00032316
   80.84084084    0.00032702
   80.95095095    0.00033257
   81.06106106    0.00034014
   81.17117117    0.00034994
   81.28128128    0.00036204
   81.39139139    0.00037636
   81.50150150    0.00039271
   81.61161161    0.00041081
   81.72172172    0.00043032
   81.83183183    0.00045083
   81.94194194    0.00047180
   82.05205205    0.00049260
   82.16216216    0.00051259
