# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    9.36454849    0.00030523    0.00016003    0.00014520
    9.46488294    0.00030976    0.00016189    0.00014787
    9.56521739    0.00031604    0.00016469    0.00015136
    9.66555184    0.00032413    0.00016843    0.00015569
    9.76588629    0.00033408    0.00017316    0.00016091
    9.86622074    0.00034593    0.00017890    0.00016704
    9.96655518    0.00035972    0.00018566    0.00017405
   10.06688963    0.00037535    0.00019345    0.00018190
   10.16722408    0.00039264    0.00020220    0.00019044
   10.26755853    0.00041120    0.00021176    0.00019943
   10.36789298    0.00043048    0.00022192    0.00020856
   10.46822742    0.00044985    0.00023238    0.00021747
   10.56856187    0.00046880    0.00024284    0.00022596
   10.66889632    0.00048716    0.00025315    0.00023400
   10.76923077    0.00050528    0.00026340    0.00024187
   10.86956522    0.00052397    0.00027393    0.00025004
   10.96989967    0.00054436    0.00028528    0.00025908
   11.07023411    0.00056761    0.00029806    0.00026954
   11.17056856    0.00059481    0.00031290    0.00028191
   11.27090301    0.00062694    0.00033033    0.00029661
   11.37123746    0.00066484    0.00035083    0.00031401
   11.47157191    0.00070930    0.00037485    0.00033445
   11.57190635    0.00076107    0.00040280    0.00035827
   11.67224080    0.00082081    0.00043503    0.00038578
   11.77257525    0.00088908    0.00047181    0.00041727
   11.87290970    0.00096620    0.00051325    0.00045295
   11.97324415    0.00105220    0.00055928    0.00049291
   12.07357860    0.00114684    0.00060966    0.00053718
   12.17391304    0.00124989    0.00066410    0.00058578
   12.27424749    0.00136156    0.00072260    0.00063895
   12.37458194    0.00148309    0.00078573    0.00069736
   12.47491639    0.00161694    0.00085480    0.00076214
   12.57525084    0.00176629    0.00093156    0.00083474
   12.67558528    0.00193403    0.00101763    0.00091640
   12.77591973    0.00212128    0.00111366    0.00100762
   12.87625418    0.00232601    0.00121854    0.00110747
   12.97658863    0.00254189    0.00132875    0.00121314
   13.07692308    0.00275784    0.00143812    0.00131972
   13.17725753    0.00295911    0.00153854    0.00142057
   13.27759197    0.00313022    0.00162172    0.00150850
   13.37792642    0.00325932    0.00168183    0.00157749
   13.47826087    0.00334206    0.00171754    0.00162452
   13.57859532    0.00338254    0.00173221    0.00165032
   13.67892977    0.00339015    0.00173167    0.00165848
   13.77926421    0.00337394    0.00172090    0.00165304
   13.87959866    0.00333753    0.00170155    0.00163598
   13.97993311    0.00327761    0.00167138    0.00160622
   14.08026756    0.00318668    0.00162598    0.00156069
   14.18060201    0.00305858    0.00156176    0.00149682
   14.28093645    0.00289355    0.00147855    0.00141500
   14.38127090    0.00269964    0.00138036    0.00131928
   14.48160535    0.00249017    0.00127400    0.00121617
   14.58193980    0.00227936    0.00116678    0.00111258
   14.68227425    0.00207889    0.00106475    0.00101413
   14.78260870    0.00189647    0.00097193    0.00092454
   14.88294314    0.00173608    0.00089037    0.00084571
   14.98327759    0.00159894    0.00082073    0.00077821
   15.08361204    0.00148452    0.00076271    0.00072181
   15.18394649    0.00139135    0.00071551    0.00067584
   15.28428094    0.00131748    0.00067802    0.00063946
   15.38461538    0.00126076    0.00064897    0.00061179
   15.48494983    0.00121885    0.00062691    0.00059194
   15.58528428    0.00118933    0.00061035    0.00057898
   15.68561873    0.00116980    0.00059789    0.00057191
   15.78595318    0.00115812    0.00058844    0.00056968
   15.88628763    0.00115277    0.00058155    0.00057123
   15.98662207    0.00115317    0.00057743    0.00057574
   16.08695652    0.00115980    0.00057688    0.00058291
   16.18729097    0.00117400    0.00058094    0.00059306
   16.28762542    0.00119765    0.00059056    0.00060708
   16.38795987    0.00123256    0.00060643    0.00062612
   16.48829431    0.00127993    0.00062876    0.00065118
   16.58862876    0.00133983    0.00065714    0.00068269
   16.68896321    0.00141060    0.00069041    0.00072019
   16.78929766    0.00148844    0.00072649    0.00076195
   16.88963211    0.00156691    0.00076226    0.00080465
   16.98996656    0.00163704    0.00079360    0.00084344
   17.09030100    0.00168819    0.00081580    0.00087239
   17.19063545    0.00171027    0.00082441    0.00088586
   17.29096990    0.00169674    0.00081654    0.00088020
   17.39130435    0.00164715    0.00079205    0.00085510
   17.49163880    0.00156741    0.00075367    0.00081374
   17.59197324    0.00146760    0.00070607    0.00076153
   17.69230769    0.00135867    0.00065435    0.00070432
   17.79264214    0.00124984    0.00060279    0.00064705
   17.89297659    0.00114746    0.00055435    0.00059311
   17.99331104    0.00105514    0.00051072    0.00054441
   18.09364548    0.00097437    0.00047260    0.00050177
   18.19397993    0.00090533    0.00044006    0.00046527
   18.29431438    0.00084747    0.00041284    0.00043463
   18.39464883    0.00079990    0.00039053    0.00040937
   18.49498328    0.00076170    0.00037269    0.00038901
   18.59531773    0.00073199    0.00035892    0.00037307
   18.69565217    0.00071002    0.00034887    0.00036116
   18.79598662    0.00069523    0.00034227    0.00035296
   18.89632107    0.00068719    0.00033894    0.00034825
   18.99665552    0.00068569    0.00033878    0.00034691
   19.09698997    0.00069066    0.00034178    0.00034888
   19.19732441    0.00070222    0.00034801    0.00035421
   19.29765886    0.00072064    0.00035760    0.00036304
   19.39799331    0.00074641    0.00037082    0.00037559
   19.49832776    0.00078018    0.00038800    0.00039219
   19.59866221    0.00082284    0.00040957    0.00041327
   19.69899666    0.00087545    0.00043608    0.00043936
   19.79933110    0.00093927    0.00046818    0.00047109
   19.89966555    0.00101571    0.00050655    0.00050916
   20.00000000    0.00110619    0.00055193    0.00055426
