# final state angular momentum:   1
# broadening parameter (in eV):    1.50000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    7.95986622    0.00048574    0.00025665    0.00022909
    8.06020067    0.00047442    0.00025093    0.00022349
    8.16053512    0.00046387    0.00024545    0.00021842
    8.26086957    0.00045427    0.00024035    0.00021391
    8.36120401    0.00044575    0.00023573    0.00021002
    8.46153846    0.00043841    0.00023165    0.00020675
    8.56187291    0.00043231    0.00022818    0.00020413
    8.66220736    0.00042749    0.00022535    0.00020214
    8.76254181    0.00042397    0.00022318    0.00020079
    8.86287625    0.00042175    0.00022168    0.00020007
    8.96321070    0.00042084    0.00022087    0.00019996
    9.06354515    0.00042122    0.00022075    0.00020047
    9.16387960    0.00042289    0.00022131    0.00020158
    9.26421405    0.00042584    0.00022255    0.00020329
    9.36454849    0.00043006    0.00022448    0.00020559
    9.46488294    0.00043555    0.00022707    0.00020847
    9.56521739    0.00044228    0.00023035    0.00021193
    9.66555184    0.00045027    0.00023430    0.00021597
    9.76588629    0.00045949    0.00023892    0.00022057
    9.86622074    0.00046996    0.00024421    0.00022574
    9.96655518    0.00048165    0.00025018    0.00023147
   10.06688963    0.00049457    0.00025681    0.00023775
   10.16722408    0.00050872    0.00026413    0.00024459
   10.26755853    0.00052410    0.00027212    0.00025198
   10.36789298    0.00054074    0.00028081    0.00025994
   10.46822742    0.00055869    0.00029021    0.00026848
   10.56856187    0.00057799    0.00030035    0.00027764
   10.66889632    0.00059875    0.00031128    0.00028747
   10.76923077    0.00062109    0.00032306    0.00029803
   10.86956522    0.00064515    0.00033575    0.00030940
   10.96989967    0.00067110    0.00034945    0.00032165
   11.07023411    0.00069913    0.00036423    0.00033490
   11.17056856    0.00072944    0.00038021    0.00034922
   11.27090301    0.00076222    0.00039748    0.00036474
   11.37123746    0.00079765    0.00041612    0.00038153
   11.47157191    0.00083591    0.00043622    0.00039969
   11.57190635    0.00087714    0.00045784    0.00041930
   11.67224080    0.00092145    0.00048103    0.00044041
   11.77257525    0.00096891    0.00050583    0.00046308
   11.87290970    0.00101956    0.00053223    0.00048733
   11.97324415    0.00107337    0.00056020    0.00051317
   12.07357860    0.00113029    0.00058971    0.00054057
   12.17391304    0.00119017    0.00062067    0.00056950
   12.27424749    0.00125280    0.00065295    0.00059986
   12.37458194    0.00131788    0.00068638    0.00063150
   12.47491639    0.00138498    0.00072073    0.00066425
   12.57525084    0.00145350    0.00075570    0.00069780
   12.67558528    0.00152269    0.00079087    0.00073182
   12.77591973    0.00159160    0.00082577    0.00076583
   12.87625418    0.00165907    0.00085979    0.00079928
   12.97658863    0.00172380    0.00089226    0.00083154
   13.07692308    0.00178440    0.00092249    0.00086191
   13.17725753    0.00183946    0.00094976    0.00088971
   13.27759197    0.00188765    0.00097341    0.00091424
   13.37792642    0.00192781    0.00099289    0.00093491
   13.47826087    0.00195902    0.00100778    0.00095124
   13.57859532    0.00198065    0.00101779    0.00096287
   13.67892977    0.00199235    0.00102277    0.00096958
   13.77926421    0.00199402    0.00102271    0.00097131
   13.87959866    0.00198582    0.00101772    0.00096810
   13.97993311    0.00196812    0.00100798    0.00096013
   14.08026756    0.00194153    0.00099381    0.00094771
   14.18060201    0.00190688    0.00097561    0.00093126
   14.28093645    0.00186523    0.00095392    0.00091131
   14.38127090    0.00181783    0.00092934    0.00088849
   14.48160535    0.00176611    0.00090259    0.00086352
   14.58193980    0.00171155    0.00087440    0.00083715
   14.68227425    0.00165564    0.00084552    0.00081012
   14.78260870    0.00159977    0.00081665    0.00078312
   14.88294314    0.00154520    0.00078841    0.00075679
   14.98327759    0.00149296    0.00076131    0.00073165
   15.08361204    0.00144390    0.00073578    0.00070812
   15.18394649    0.00139860    0.00071209    0.00068651
   15.28428094    0.00135749    0.00069046    0.00066703
   15.38461538    0.00132077    0.00067097    0.00064980
   15.48494983    0.00128853    0.00065366    0.00063487
   15.58528428    0.00126073    0.00063852    0.00062221
   15.68561873    0.00123725    0.00062547    0.00061178
   15.78595318    0.00121791    0.00061445    0.00060345
   15.88628763    0.00120248    0.00060536    0.00059712
   15.98662207    0.00119072    0.00059809    0.00059263
   16.08695652    0.00118235    0.00059251    0.00058984
   16.18729097    0.00117704    0.00058849    0.00058855
   16.28762542    0.00117443    0.00058585    0.00058858
   16.38795987    0.00117404    0.00058437    0.00058968
   16.48829431    0.00117536    0.00058379    0.00059157
   16.58862876    0.00117772    0.00058378    0.00059393
   16.68896321    0.00118038    0.00058400    0.00059638
   16.78929766    0.00118253    0.00058404    0.00059849
   16.88963211    0.00118332    0.00058349    0.00059983
   16.98996656    0.00118194    0.00058197    0.00059997
   17.09030100    0.00117767    0.00057914    0.00059853
   17.19063545    0.00116998    0.00057475    0.00059523
   17.29096990    0.00115858    0.00056868    0.00058990
   17.39130435    0.00114344    0.00056090    0.00058254
   17.49163880    0.00112483    0.00055156    0.00057326
   17.59197324    0.00110324    0.00054089    0.00056235
   17.69230769    0.00107935    0.00052921    0.00055015
   17.79264214    0.00105397    0.00051688    0.00053708
   17.89297659    0.00102792    0.00050432    0.00052360
   17.99331104    0.00100200    0.00049188    0.00051012
   18.09364548    0.00097695    0.00047992    0.00049703
   18.19397993    0.00095341    0.00046874    0.00048467
   18.29431438    0.00093189    0.00045857    0.00047332
   18.39464883    0.00091282    0.00044961    0.00046320
