# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
    7.75919732    0.00050165    0.00028165    0.00022000
    7.85953177    0.00046178    0.00025966    0.00020212
    7.95986622    0.00042589    0.00023911    0.00018678
    8.06020067    0.00039436    0.00022060    0.00017376
    8.16053512    0.00036719    0.00020437    0.00016281
    8.26086957    0.00034412    0.00019043    0.00015368
    8.36120401    0.00032479    0.00017864    0.00014614
    8.46153846    0.00030880    0.00016881    0.00013999
    8.56187291    0.00029578    0.00016072    0.00013506
    8.66220736    0.00028539    0.00015419    0.00013120
    8.76254181    0.00027732    0.00014902    0.00012830
    8.86287625    0.00027135    0.00014508    0.00012627
    8.96321070    0.00026726    0.00014223    0.00012503
    9.06354515    0.00026493    0.00014038    0.00012455
    9.16387960    0.00026423    0.00013945    0.00012478
    9.26421405    0.00026510    0.00013939    0.00012571
    9.36454849    0.00026750    0.00014018    0.00012733
    9.46488294    0.00027143    0.00014178    0.00012965
    9.56521739    0.00027690    0.00014421    0.00013270
    9.66555184    0.00028396    0.00014747    0.00013649
    9.76588629    0.00029265    0.00015160    0.00014105
    9.86622074    0.00030302    0.00015661    0.00014641
    9.96655518    0.00031508    0.00016252    0.00015256
   10.06688963    0.00032876    0.00016933    0.00015943
   10.16722408    0.00034389    0.00017698    0.00016692
   10.26755853    0.00036014    0.00018535    0.00017480
   10.36789298    0.00037702    0.00019423    0.00018279
   10.46822742    0.00039398    0.00020338    0.00019060
   10.56856187    0.00041055    0.00021253    0.00019803
   10.66889632    0.00042661    0.00022155    0.00020507
   10.76923077    0.00044245    0.00023050    0.00021195
   10.86956522    0.00045880    0.00023970    0.00021909
   10.96989967    0.00047662    0.00024962    0.00022700
   11.07023411    0.00049695    0.00026080    0.00023615
   11.17056856    0.00052075    0.00027377    0.00024698
   11.27090301    0.00054886    0.00028901    0.00025985
   11.37123746    0.00058204    0.00030695    0.00027509
   11.47157191    0.00062096    0.00032797    0.00029299
   11.57190635    0.00066628    0.00035242    0.00031386
   11.67224080    0.00071859    0.00038062    0.00033797
   11.77257525    0.00077836    0.00041281    0.00036556
   11.87290970    0.00084589    0.00044907    0.00039682
   11.97324415    0.00092120    0.00048936    0.00043184
   12.07357860    0.00100408    0.00053345    0.00047063
   12.17391304    0.00109431    0.00058108    0.00051322
   12.27424749    0.00119208    0.00063227    0.00055981
   12.37458194    0.00129849    0.00068750    0.00061098
   12.47491639    0.00141567    0.00074793    0.00066774
   12.57525084    0.00154643    0.00081509    0.00073135
   12.67558528    0.00169328    0.00089039    0.00080290
   12.77591973    0.00185722    0.00097440    0.00088282
   12.87625418    0.00203646    0.00106616    0.00097030
   12.97658863    0.00222545    0.00116257    0.00106288
   13.07692308    0.00241448    0.00125824    0.00115624
   13.17725753    0.00259064    0.00134607    0.00124457
   13.27759197    0.00274037    0.00141880    0.00132157
   13.37792642    0.00285329    0.00147132    0.00138197
   13.47826087    0.00292561    0.00150250    0.00142311
   13.57859532    0.00296092    0.00151527    0.00144566
   13.67892977    0.00296746    0.00151472    0.00145274
   13.77926421    0.00295312    0.00150522    0.00144790
   13.87959866    0.00292110    0.00148822    0.00143288
   13.97993311    0.00286850    0.00146176    0.00140674
   14.08026756    0.00278875    0.00142198    0.00136677
   14.18060201    0.00267648    0.00136574    0.00131074
   14.28093645    0.00253190    0.00129289    0.00123902
   14.38127090    0.00236208    0.00120695    0.00115513
   14.48160535    0.00217866    0.00111387    0.00106479
   14.58193980    0.00199408    0.00102005    0.00097403
   14.68227425    0.00181856    0.00093079    0.00088778
   14.78260870    0.00165885    0.00084957    0.00080928
   14.88294314    0.00151842    0.00077821    0.00074021
   14.98327759    0.00139832    0.00071727    0.00068106
   15.08361204    0.00129811    0.00066649    0.00063162
   15.18394649    0.00121648    0.00062517    0.00059132
   15.28428094    0.00115175    0.00059234    0.00055941
   15.38461538    0.00110200    0.00056688    0.00053513
   15.48494983    0.00106522    0.00054754    0.00051768
   15.58528428    0.00103928    0.00053300    0.00050627
   15.68561873    0.00102207    0.00052204    0.00050002
   15.78595318    0.00101172    0.00051372    0.00049800
   15.88628763    0.00100691    0.00050763    0.00049928
   15.98662207    0.00100713    0.00050397    0.00050316
   16.08695652    0.00101278    0.00050343    0.00050935
   16.18729097    0.00102506    0.00050690    0.00051816
   16.28762542    0.00104558    0.00051523    0.00053034
   16.38795987    0.00107593    0.00052902    0.00054692
   16.48829431    0.00111717    0.00054843    0.00056874
   16.58862876    0.00116934    0.00057312    0.00059621
   16.68896321    0.00123100    0.00060209    0.00062891
   16.78929766    0.00129882    0.00063349    0.00066533
