# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   26.88688689    0.00254532
   26.99699700    0.00253499
   27.10710711    0.00251371
   27.21721722    0.00248337
   27.32732733    0.00244809
   27.43743744    0.00241306
   27.54754755    0.00238294
   27.65765766    0.00236033
   27.76776777    0.00234493
   27.87787788    0.00233352
   27.98798799    0.00232108
   28.09809810    0.00230256
   28.20820821    0.00227479
   28.31831832    0.00223748
   28.42842843    0.00219300
   28.53853854    0.00214508
   28.64864865    0.00209774
   28.75875876    0.00205458
   28.86886887    0.00201857
   28.97897898    0.00199177
   29.08908909    0.00197490
   29.19919920    0.00196714
   29.30930931    0.00196609
   29.41941942    0.00196834
   29.52952953    0.00197026
   29.63963964    0.00196874
   29.74974975    0.00196178
   29.85985986    0.00194855
   29.96996997    0.00192920
   30.08008008    0.00190446
   30.19019019    0.00187537
   30.30030030    0.00184321
   30.41041041    0.00180943
   30.52052052    0.00177554
   30.63063063    0.00174273
   30.74074074    0.00171160
   30.85085085    0.00168211
   30.96096096    0.00165372
   31.07107107    0.00162579
   31.18118118    0.00159790
   31.29129129    0.00157014
   31.40140140    0.00154325
   31.51151151    0.00151838
   31.62162162    0.00149663
   31.73173173    0.00147842
   31.84184184    0.00146311
   31.95195195    0.00144905
   32.06206206    0.00143414
   32.17217217    0.00141667
   32.28228228    0.00139602
   32.39239239    0.00137285
   32.50250250    0.00134879
   32.61261261    0.00132558
   32.72272272    0.00130435
   32.83283283    0.00128526
   32.94294294    0.00126757
   33.05305305    0.00124997
   33.16316316    0.00123118
   33.27327327    0.00121032
   33.38338338    0.00118734
   33.49349349    0.00116293
   33.60360360    0.00113833
   33.71371371    0.00111478
   33.82382382    0.00109300
   33.93393393    0.00107284
   34.04404404    0.00105333
   34.15415415    0.00103316
   34.26426426    0.00101133
   34.37437437    0.00098761
   34.48448448    0.00096269
   34.59459459    0.00093781
   34.70470470    0.00091442
   34.81481481    0.00089378
   34.92492492    0.00087675
   35.03503504    0.00086361
   35.14514515    0.00085403
   35.25525526    0.00084714
   35.36536537    0.00084189
   35.47547548    0.00083740
   35.58558559    0.00083331
   35.69569570    0.00082969
   35.80580581    0.00082671
   35.91591592    0.00082433
   36.02602603    0.00082214
   36.13613614    0.00081952
   36.24624625    0.00081590
   36.35635636    0.00081090
   36.46646647    0.00080440
   36.57657658    0.00079650
   36.68668669    0.00078750
   36.79679680    0.00077786
   36.90690691    0.00076800
   37.01701702    0.00075820
   37.12712713    0.00074849
   37.23723724    0.00073874
   37.34734735    0.00072883
   37.45745746    0.00071886
   37.56756757    0.00070926
   37.67767768    0.00070072
   37.78778779    0.00069394
   37.89789790    0.00068943
   38.00800801    0.00068721
   38.11811812    0.00068676
   38.22822823    0.00068704
   38.33833834    0.00068673
   38.44844845    0.00068454
   38.55855856    0.00067948
   38.66866867    0.00067104
   38.77877878    0.00065913
   38.88888889    0.00064407
   38.99899900    0.00062649
   39.10910911    0.00060737
   39.21921922    0.00058790
   39.32932933    0.00056934
   39.43943944    0.00055284
   39.54954955    0.00053920
   39.65965966    0.00052883
   39.76976977    0.00052178
   39.87987988    0.00051779
   39.98998999    0.00051648
   40.10010010    0.00051734
   40.21021021    0.00051977
   40.32032032    0.00052310
   40.43043043    0.00052660
   40.54054054    0.00052957
   40.65065065    0.00053158
   40.76076076    0.00053250
   40.87087087    0.00053245
   40.98098098    0.00053157
   41.09109109    0.00052980
   41.20120120    0.00052688
   41.31131131    0.00052245
   41.42142142    0.00051633
   41.53153153    0.00050856
   41.64164164    0.00049938
   41.75175175    0.00048917
   41.86186186    0.00047831
   41.97197197    0.00046717
   42.08208208    0.00045610
   42.19219219    0.00044540
   42.30230230    0.00043527
   42.41241241    0.00042579
   42.52252252    0.00041684
   42.63263263    0.00040817
   42.74274274    0.00039961
   42.85285285    0.00039114
   42.96296296    0.00038297
   43.07307307    0.00037544
   43.18318318    0.00036881
   43.29329329    0.00036316
   43.40340340    0.00035834
   43.51351351    0.00035407
   43.62362362    0.00035001
   43.73373373    0.00034590
   43.84384384    0.00034164
   43.95395395    0.00033732
   44.06406406    0.00033315
   44.17417417    0.00032933
   44.28428428    0.00032592
   44.39439439    0.00032276
   44.50450450    0.00031955
   44.61461461    0.00031599
   44.72472472    0.00031191
   44.83483483    0.00030733
   44.94494494    0.00030238
   45.05505506    0.00029731
   45.16516517    0.00029231
   45.27527528    0.00028759
   45.38538539    0.00028331
   45.49549550    0.00027961
   45.60560561    0.00027652
   45.71571572    0.00027397
   45.82582583    0.00027179
   45.93593594    0.00026981
   46.04604605    0.00026785
   46.15615616    0.00026578
   46.26626627    0.00026348
   46.37637638    0.00026086
   46.48648649    0.00025785
   46.59659660    0.00025443
   46.70670671    0.00025068
   46.81681682    0.00024670
   46.92692693    0.00024265
   47.03703704    0.00023869
   47.14714715    0.00023500
   47.25725726    0.00023183
   47.36736737    0.00022939
   47.47747748    0.00022788
   47.58758759    0.00022738
   47.69769770    0.00022786
   47.80780781    0.00022917
   47.91791792    0.00023107
   48.02802803    0.00023333
   48.13813814    0.00023572
   48.24824825    0.00023817
   48.35835836    0.00024075
   48.46846847    0.00024367
   48.57857858    0.00024715
   48.68868869    0.00025129
   48.79879880    0.00025599
   48.90890891    0.00026089
   49.01901902    0.00026550
   49.12912913    0.00026927
   49.23923924    0.00027174
   49.34934935    0.00027263
   49.45945946    0.00027182
   49.56956957    0.00026935
   49.67967968    0.00026533
   49.78978979    0.00025999
   49.89989990    0.00025359
   50.01001001    0.00024646
   50.12012012    0.00023892
   50.23023023    0.00023133
   50.34034034    0.00022397
   50.45045045    0.00021703
   50.56056056    0.00021059
   50.67067067    0.00020466
   50.78078078    0.00019917
   50.89089089    0.00019408
   51.00100100    0.00018936
   51.11111111    0.00018500
   51.22122122    0.00018102
   51.33133133    0.00017741
   51.44144144    0.00017411
   51.55155155    0.00017101
   51.66166166    0.00016801
   51.77177177    0.00016499
   51.88188188    0.00016190
   51.99199199    0.00015879
   52.10210210    0.00015576
   52.21221221    0.00015300
   52.32232232    0.00015067
   52.43243243    0.00014888
   52.54254254    0.00014765
   52.65265265    0.00014687
   52.76276276    0.00014635
   52.87287287    0.00014584
   52.98298298    0.00014511
   53.09309309    0.00014399
   53.20320320    0.00014244
   53.31331331    0.00014054
   53.42342342    0.00013846
   53.53353353    0.00013638
   53.64364364    0.00013444
   53.75375375    0.00013268
   53.86386386    0.00013102
   53.97397397    0.00012932
   54.08408408    0.00012743
   54.19419419    0.00012524
   54.30430430    0.00012274
   54.41441441    0.00012002
   54.52452452    0.00011717
   54.63463463    0.00011432
   54.74474474    0.00011156
   54.85485485    0.00010898
   54.96496496    0.00010666
   55.07507508    0.00010468
   55.18518519    0.00010309
   55.29529530    0.00010193
   55.40540541    0.00010118
   55.51551552    0.00010077
   55.62562563    0.00010058
   55.73573574    0.00010043
   55.84584585    0.00010016
   55.95595596    0.00009962
   56.06606607    0.00009871
   56.17617618    0.00009744
   56.28628629    0.00009583
   56.39639640    0.00009397
   56.50650651    0.00009199
   56.61661662    0.00008999
   56.72672673    0.00008809
   56.83683684    0.00008635
   56.94694695    0.00008477
   57.05705706    0.00008325
   57.16716717    0.00008169
   57.27727728    0.00007999
   57.38738739    0.00007809
   57.49749750    0.00007603
   57.60760761    0.00007390
   57.71771772    0.00007180
   57.82782783    0.00006981
   57.93793794    0.00006798
   58.04804805    0.00006632
   58.15815816    0.00006484
   58.26826827    0.00006350
   58.37837838    0.00006229
   58.48848849    0.00006118
   58.59859860    0.00006012
   58.70870871    0.00005908
   58.81881882    0.00005803
   58.92892893    0.00005695
   59.03903904    0.00005585
   59.14914915    0.00005476
   59.25925926    0.00005370
   59.36936937    0.00005267
   59.47947948    0.00005169
   59.58958959    0.00005074
   59.69969970    0.00004984
   59.80980981    0.00004896
   59.91991992    0.00004812
   60.03003003    0.00004731
   60.14014014    0.00004654
   60.25025025    0.00004580
   60.36036036    0.00004510
   60.47047047    0.00004442
   60.58058058    0.00004376
   60.69069069    0.00004311
   60.80080080    0.00004246
   60.91091091    0.00004183
   61.02102102    0.00004121
   61.13113113    0.00004061
   61.24124124    0.00004004
   61.35135135    0.00003949
   61.46146146    0.00003896
   61.57157157    0.00003845
   61.68168168    0.00003796
   61.79179179    0.00003752
   61.90190190    0.00003711
   62.01201201    0.00003674
   62.12212212    0.00003641
   62.23223223    0.00003612
   62.34234234    0.00003586
   62.45245245    0.00003563
   62.56256256    0.00003541
   62.67267267    0.00003522
   62.78278278    0.00003505
   62.89289289    0.00003490
   63.00300300    0.00003477
   63.11311311    0.00003467
   63.22322322    0.00003459
   63.33333333    0.00003453
   63.44344344    0.00003450
   63.55355355    0.00003448
   63.66366366    0.00003449
   63.77377377    0.00003451
   63.88388388    0.00003455
   63.99399399    0.00003461
   64.10410410    0.00003471
   64.21421421    0.00003484
   64.32432432    0.00003500
   64.43443443    0.00003521
   64.54454454    0.00003546
   64.65465465    0.00003574
   64.76476476    0.00003607
   64.87487487    0.00003643
   64.98498498    0.00003683
   65.09509510    0.00003727
   65.20520521    0.00003775
   65.31531532    0.00003827
   65.42542543    0.00003883
   65.53553554    0.00003944
   65.64564565    0.00004008
   65.75575576    0.00004074
   65.86586587    0.00004143
   65.97597598    0.00004214
   66.08608609    0.00004287
   66.19619620    0.00004364
   66.30630631    0.00004443
   66.41641642    0.00004525
   66.52652653    0.00004609
   66.63663664    0.00004691
   66.74674675    0.00004770
   66.85685686    0.00004843
   66.96696697    0.00004911
   67.07707708    0.00004972
   67.18718719    0.00005030
   67.29729730    0.00005085
   67.40740741    0.00005139
   67.51751752    0.00005195
   67.62762763    0.00005252
   67.73773774    0.00005309
   67.84784785    0.00005368
   67.95795796    0.00005429
   68.06806807    0.00005491
   68.17817818    0.00005556
   68.28828829    0.00005625
   68.39839840    0.00005699
   68.50850851    0.00005777
   68.61861862    0.00005859
   68.72872873    0.00005945
   68.83883884    0.00006033
   68.94894895    0.00006121
   69.05905906    0.00006208
   69.16916917    0.00006292
   69.27927928    0.00006370
   69.38938939    0.00006443
   69.49949950    0.00006511
   69.60960961    0.00006576
   69.71971972    0.00006642
   69.82982983    0.00006712
   69.93993994    0.00006790
   70.05005005    0.00006877
   70.16016016    0.00006976
   70.27027027    0.00007090
   70.38038038    0.00007220
   70.49049049    0.00007368
   70.60060060    0.00007536
   70.71071071    0.00007721
   70.82082082    0.00007920
   70.93093093    0.00008129
   71.04104104    0.00008344
   71.15115115    0.00008562
   71.26126126    0.00008785
   71.37137137    0.00009014
   71.48148148    0.00009253
   71.59159159    0.00009505
   71.70170170    0.00009769
   71.81181181    0.00010046
   71.92192192    0.00010331
   72.03203203    0.00010621
   72.14214214    0.00010912
   72.25225225    0.00011200
   72.36236236    0.00011479
   72.47247247    0.00011746
   72.58258258    0.00011999
   72.69269269    0.00012235
   72.80280280    0.00012455
   72.91291291    0.00012659
   73.02302302    0.00012849
   73.13313313    0.00013027
   73.24324324    0.00013198
   73.35335335    0.00013370
   73.46346346    0.00013546
   73.57357357    0.00013728
   73.68368368    0.00013918
   73.79379379    0.00014113
   73.90390390    0.00014316
   74.01401401    0.00014529
   74.12412412    0.00014759
   74.23423423    0.00015011
   74.34434434    0.00015284
   74.45445445    0.00015575
   74.56456456    0.00015878
   74.67467467    0.00016186
   74.78478478    0.00016495
   74.89489489    0.00016800
   75.00500501    0.00017100
   75.11511512    0.00017399
   75.22522523    0.00017699
   75.33533534    0.00018009
   75.44544545    0.00018339
   75.55555556    0.00018704
   75.66566567    0.00019118
   75.77577578    0.00019586
   75.88588589    0.00020103
   75.99599600    0.00020652
   76.10610611    0.00021204
   76.21621622    0.00021734
   76.32632633    0.00022222
   76.43643644    0.00022659
   76.54654655    0.00023046
   76.65665666    0.00023388
   76.76676677    0.00023687
   76.87687688    0.00023941
   76.98698699    0.00024142
   77.09709710    0.00024285
   77.20720721    0.00024369
   77.31731732    0.00024406
   77.42742743    0.00024414
   77.53753754    0.00024411
   77.64764765    0.00024415
   77.75775776    0.00024442
   77.86786787    0.00024505
   77.97797798    0.00024619
   78.08808809    0.00024785
   78.19819820    0.00024993
   78.30830831    0.00025217
   78.41841842    0.00025422
   78.52852853    0.00025581
   78.63863864    0.00025680
   78.74874875    0.00025728
   78.85885886    0.00025752
   78.96896897    0.00025784
   79.07907908    0.00025860
   79.18918919    0.00026001
   79.29929930    0.00026218
   79.40940941    0.00026506
   79.51951952    0.00026844
   79.62962963    0.00027210
   79.73973974    0.00027579
   79.84984985    0.00027932
   79.95995996    0.00028260
   80.07007007    0.00028559
   80.18018018    0.00028829
   80.29029029    0.00029071
   80.40040040    0.00029288
   80.51051051    0.00029479
   80.62062062    0.00029648
   80.73073073    0.00029801
   80.84084084    0.00029948
   80.95095095    0.00030095
   81.06106106    0.00030245
   81.17117117    0.00030399
   81.28128128    0.00030553
   81.39139139    0.00030707
   81.50150150    0.00030860
   81.61161161    0.00031016
   81.72172172    0.00031174
   81.83183183    0.00031333
   81.94194194    0.00031489
   82.05205205    0.00031639
   82.16216216    0.00031786
   82.27227227    0.00031946
   82.38238238    0.00032151
   82.49249249    0.00032443
   82.60260260    0.00032868
   82.71271271    0.00033470
   82.82282282    0.00034281
   82.93293293    0.00035323
   83.04304304    0.00036599
   83.15315315    0.00038099
   83.26326326    0.00039798
   83.37337337    0.00041668
   83.48348348    0.00043668
   83.59359359    0.00045751
   83.70370370    0.00047858
   83.81381381    0.00049921
   83.92392392    0.00051875
   84.03403403    0.00053680
   84.14414414    0.00055328
   84.25425425    0.00056838
   84.36436436    0.00058243
   84.47447447    0.00059558
   84.58458458    0.00060761
   84.69469469    0.00061781
   84.80480480    0.00062518
   84.91491491    0.00062868
   85.02502503    0.00062764
   85.13513514    0.00062209
   85.24524525    0.00061280
   85.35535536    0.00060115
   85.46546547    0.00058862
   85.57557558    0.00057647
   85.68568569    0.00056548
   85.79579580    0.00055602
   85.90590591    0.00054810
   86.01601602    0.00054155
   86.12612613    0.00053615
   86.23623624    0.00053166
   86.34634635    0.00052786
   86.45645646    0.00052452
   86.56656657    0.00052148
   86.67667668    0.00051866
   86.78678679    0.00051603
   86.89689690    0.00051358
   87.00700701    0.00051131
   87.11711712    0.00050918
   87.22722723    0.00050720
   87.33733734    0.00050538
   87.44744745    0.00050372
   87.55755756    0.00050221
   87.66766767    0.00050087
   87.77777778    0.00049982
   87.88788789    0.00049930
   87.99799800    0.00049962
   88.10810811    0.00050106
   88.21821822    0.00050377
   88.32832833    0.00050771
   88.43843844    0.00051260
   88.54854855    0.00051800
   88.65865866    0.00052328
   88.76876877    0.00052774
   88.87887888    0.00053076
   88.98898899    0.00053192
   89.09909910    0.00053115
   89.20920921    0.00052878
   89.31931932    0.00052545
   89.42942943    0.00052200
   89.53953954    0.00051923
   89.64964965    0.00051773
   89.75975976    0.00051774
   89.86986987    0.00051908
   89.97997998    0.00052125
   90.09009009    0.00052358
   90.20020020    0.00052549
   90.31031031    0.00052662
   90.42042042    0.00052693
   90.53053053    0.00052665
   90.64064064    0.00052615
   90.75075075    0.00052580
   90.86086086    0.00052595
   90.97097097    0.00052687
   91.08108108    0.00052876
   91.19119119    0.00053183
   91.30130130    0.00053617
   91.41141141    0.00054175
   91.52152152    0.00054837
   91.63163163    0.00055562
   91.74174174    0.00056300
   91.85185185    0.00056998
   91.96196196    0.00057612
   92.07207207    0.00058116
   92.18218218    0.00058503
   92.29229229    0.00058780
   92.40240240    0.00058967
   92.51251251    0.00059087
   92.62262262    0.00059165
   92.73273273    0.00059221
   92.84284284    0.00059265
   92.95295295    0.00059296
   93.06306306    0.00059301
   93.17317317    0.00059268
   93.28328328    0.00059191
   93.39339339    0.00059078
   93.50350350    0.00058950
   93.61361361    0.00058836
   93.72372372    0.00058764
   93.83383383    0.00058754
   93.94394394    0.00058808
   94.05405405    0.00058912
   94.16416416    0.00059049
   94.27427427    0.00059208
   94.38438438    0.00059394
   94.49449449    0.00059629
   94.60460460    0.00059946
   94.71471471    0.00060370
   94.82482482    0.00060917
   94.93493493    0.00061588
   95.04504505    0.00062369
   95.15515516    0.00063240
   95.26526527    0.00064176
   95.37537538    0.00065147
   95.48548549    0.00066123
   95.59559560    0.00067066
   95.70570571    0.00067938
   95.81581582    0.00068709
   95.92592593    0.00069362
   96.03603604    0.00069893
   96.14614615    0.00070309
   96.25625626    0.00070620
   96.36636637    0.00070834
   96.47647648    0.00070963
   96.58658659    0.00071019
   96.69669670    0.00071021
   96.80680681    0.00070993
   96.91691692    0.00070963
   97.02702703    0.00070957
   97.13713714    0.00070992
   97.24724725    0.00071064
   97.35735736    0.00071154
   97.46746747    0.00071222
   97.57757758    0.00071225
   97.68768769    0.00071127
   97.79779780    0.00070914
   97.90790791    0.00070605
   98.01801802    0.00070243
   98.12812813    0.00069896
   98.23823824    0.00069633
   98.34834835    0.00069520
   98.45845846    0.00069596
   98.56856857    0.00069873
   98.67867868    0.00070321
   98.78878879    0.00070881
   98.89889890    0.00071469
   99.00900901    0.00072001
   99.11911912    0.00072413
   99.22922923    0.00072682
   99.33933934    0.00072836
   99.44944945    0.00072944
   99.55955956    0.00073095
   99.66966967    0.00073365
   99.77977978    0.00073794
   99.88988989    0.00074368
  100.00000000    0.00075018
