#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.113000000000000E+01  0.168317164933033E+00  0.797614865680615E-02  0.592785320438236E+01  0.280906812996108E+00
     0.114000000000000E+01  0.168249571916801E+00  0.808647775456427E-02  0.592985360012115E+01  0.285002979079878E+00
     0.115000000000000E+01  0.168183433419102E+00  0.819711052376442E-02  0.593179785131583E+01  0.289110536057956E+00
     0.116000000000000E+01  0.168118819676196E+00  0.830793865760883E-02  0.593368371643309E+01  0.293225234537846E+00
     0.117000000000000E+01  0.168055796197712E+00  0.841884549388735E-02  0.593550916897752E+01  0.297342524041154E+00
     0.118000000000000E+01  0.167994422882316E+00  0.852970605999710E-02  0.593727243154567E+01  0.301457558949356E+00
     0.119000000000000E+01  0.167934753095549E+00  0.864038720941104E-02  0.593897201084792E+01  0.305565208235272E+00
     0.120000000000000E+01  0.167876832718698E+00  0.875074785909675E-02  0.594060673328675E+01  0.309660069297071E+00
     0.121000000000000E+01  0.167820699179503E+00  0.886063933671352E-02  0.594217578060876E+01  0.313736486170944E+00
     0.122000000000000E+01  0.167766380477344E+00  0.896990584540072E-02  0.594367872508275E+01  0.317788572344527E+00
     0.123000000000000E+01  0.167713894217377E+00  0.907838505259068E-02  0.594511556359363E+01  0.321810238324670E+00
     0.124000000000000E+01  0.167663246669825E+00  0.918590880751596E-02  0.594648674998827E+01  0.325795224030604E+00
     0.125000000000000E+01  0.167614431872099E+00  0.929230398993313E-02  0.594779322496743E+01  0.329737135987406E+00
     0.126000000000000E+01  0.167567430792693E+00  0.939739349006527E-02  0.594903644278883E+01  0.333629489186287E+00
     0.127000000000000E+01  0.167522210576682E+00  0.950099731690571E-02  0.595021839403503E+01  0.337465753359626E+00
     0.128000000000000E+01  0.167478723893026E+00  0.960293382887541E-02  0.595134162370985E+01  0.341239403292931E+00
     0.129000000000000E+01  0.167436908403815E+00  0.970302107746211E-02  0.595240924395834E+01  0.344943972666496E+00
     0.130000000000000E+01  0.167396686374876E+00  0.980107825097776E-02  0.595342494076112E+01  0.348573110790560E+00
     0.131000000000000E+01  0.167357964445824E+00  0.989692720207234E-02  0.595439297403479E+01  0.352120641474639E+00
     0.132000000000000E+01  0.167320633575588E+00  0.999039403925450E-02  0.595531817067717E+01  0.355580623159185E+00
     0.133000000000000E+01  0.167284569176805E+00  0.100813107595404E-01  0.595620591022362E+01  0.358947409341215E+00
     0.134000000000000E+01  0.167249631449087E+00  0.101695168966200E-01  0.595706210293215E+01  0.362215708250602E+00
     0.135000000000000E+01  0.167215665917252E+00  0.102548611567368E-01  0.595789316028214E+01  0.365380640684706E+00
     0.136000000000000E+01  0.167182504176260E+00  0.103372030129564E-01  0.595870595804867E+01  0.368437794889837E+00
     0.137000000000000E+01  0.167149964839755E+00  0.104164142277595E-01  0.595950779230137E+01  0.371383277392154E+00
     0.138000000000000E+01  0.167117854684216E+00  0.104923802740225E-01  0.596030632885887E+01  0.374213758728659E+00
     0.139000000000000E+01  0.167085969975714E+00  0.105650016254977E-01  0.596110954690602E+01  0.376926513111698E+00
     0.140000000000000E+01  0.167054097961432E+00  0.106341948898782E-01  0.596192567764267E+01  0.379519451175982E+00
     0.141000000000000E+01  0.167022018503648E+00  0.106998937604113E-01  0.596276313897043E+01  0.381991145102147E+00
     0.142000000000000E+01  0.166989505829981E+00  0.107620497657178E-01  0.596363046733483E+01  0.384340845580762E+00
     0.143000000000000E+01  0.166956330370396E+00  0.108206328018847E-01  0.596453624792045E+01  0.386568490269848E+00
     0.144000000000000E+01  0.166922260649206E+00  0.108756314358555E-01  0.596548904443532E+01  0.388674703599041E+00
     0.145000000000000E+01  0.166887065198724E+00  0.109270529744795E-01  0.596649732973024E+01  0.390660787979100E+00
     0.146000000000000E+01  0.166850514460945E+00  0.109749232990898E-01  0.596756941846051E+01  0.392528706676107E+00
     0.147000000000000E+01  0.166812382644090E+00  0.110192864709536E-01  0.596871340293322E+01  0.394281058800471E+00
     0.148000000000000E+01  0.166772449502468E+00  0.110602041181801E-01  0.596993709317917E+01  0.395921047032886E+00
     0.149000000000000E+01  0.166730502010611E+00  0.110977546194751E-01  0.597124796215922E+01  0.397452438857687E+00
     0.150000000000000E+01  0.166686335905825E+00  0.111320321043530E-01  0.597265309686592E+01  0.398879522194543E+00
     0.151000000000000E+01  0.166639757077230E+00  0.111631452929024E-01  0.597415915591314E+01  0.400207056407754E+00
