#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.187000000000000E+02  0.123204174950245E+01  0.962122794284063E+00  0.504189780517469E+00  0.393730553917377E+00
     0.188000000000000E+02  0.125279685005444E+01  0.929612487022654E+00  0.514774825894000E+00  0.381978216288762E+00
     0.189000000000000E+02  0.126763547033666E+01  0.893768043723436E+00  0.526925387222440E+00  0.371517745871326E+00
     0.190000000000000E+02  0.127602015890642E+01  0.856442632780187E+00  0.540292408385347E+00  0.362634907825644E+00
     0.191000000000000E+02  0.127805431391018E+01  0.819415105367068E+00  0.554503148492465E+00  0.355515607516079E+00
     0.192000000000000E+02  0.127433200128974E+01  0.784190171573749E+00  0.569183753335468E+00  0.350260610840335E+00
     0.193000000000000E+02  0.126575358103177E+01  0.751905280141783E+00  0.583971060106163E+00  0.346900795007741E+00
     0.194000000000000E+02  0.125336005402336E+01  0.723324470020301E+00  0.598516899889771E+00  0.345409061044556E+00
     0.195000000000000E+02  0.123821195015875E+01  0.698884542322463E+00  0.612488515326994E+00  0.345707175299987E+00
     0.196000000000000E+02  0.122131607660789E+01  0.678761476438000E+00  0.625568430287046E+00  0.347667372506848E+00
     0.197000000000000E+02  0.120359096875876E+01  0.662935246599861E+00  0.637456604034433E+00  0.351109689222818E+00
     0.198000000000000E+02  0.118585792953714E+01  0.651241747808488E+00  0.647877091397407E+00  0.355796928837343E+00
     0.199000000000000E+02  0.116884542531157E+01  0.643408265529567E+00  0.656590614509266E+00  0.361430022564179E+00
     0.200000000000000E+02  0.115319728571102E+01  0.639073552572554E+00  0.663413235399749E+00  0.367647286742584E+00
     0.201000000000000E+02  0.113947797600992E+01  0.637796014166841E+00  0.668239567250071E+00  0.374031391105148E+00
     0.202000000000000E+02  0.112817064472273E+01  0.639054754545688E+00  0.671066796844743E+00  0.380127269883693E+00
     0.203000000000000E+02  0.111966580432696E+01  0.642248960283363E+00  0.672013758068171E+00  0.385472286237085E+00
     0.204000000000000E+02  0.111424071792460E+01  0.646701482901857E+00  0.671328354735656E+00  0.389636669650940E+00
     0.205000000000000E+02  0.111203209854099E+01  0.651672316213748E+00  0.669377789940976E+00  0.392268330532185E+00
     0.206000000000000E+02  0.111300751110229E+01  0.656386456268672E+00  0.666619696912034E+00  0.393133142562210E+00
     0.207000000000000E+02  0.111694333196838E+01  0.660077915607039E+00  0.663557525670398E+00  0.392141352111388E+00
     0.208000000000000E+02  0.112341823142972E+01  0.662047405076465E+00  0.660688401268928E+00  0.389353696946456E+00
